Subdivision,Total Living Area SqFt,Year Built,Bedrooms,Full Baths,Half Baths,Property Type,List Price,Sold Price,Acres,Approx Lot SqFt,Approximate Acres,Basement,Construction Type,Days On Market,Closing Date,Fireplace,Garage,HOA 1 Fees Required,Internet Listing,List Date,Master Bedroom 1st Floor,New Construction,Total Baths,Zip,Inside City,HOA Y/N,Elementary School 1,High School 1,Middle School 1,City,Restrictive Covenants
The Hills at Southpoint,"6,079",2010,6,5,1,Detached,"$819,900","$798,000",.26-.5 Acres,"12,719.52",0.292,Yes,Site Built,56,1/4/2021,3,4,Yes,Yes,9/16/2020,No,No,6,27713,Yes,,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Orchard Lake,"1,532",2002,3,2,1,Detached,"$235,000","$243,000",0-.25 Acres,"7,579.44",0.174,No,Site Built,3,1/4/2021,1,0,Yes,Yes,10/8/2020,No,No,3,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"4,494",1910,4,4,0,Detached,"$1,153,000","$1,153,000",.26-.5 Acres,"11,325.60",0.26,Yes,Site Built,1,1/4/2021,4+,0,No,Yes,11/5/2020,No,No,4,27701,Yes,No,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,Yes
Hickory Ridge,"1,914",1997,3,2,1,Detached,"$268,500","$249,500",.76-.99 Acres,"38,768.40",0.89,No,Site Built,1,1/4/2021,1,2,,Yes,11/10/2020,Yes,No,3,27712-2309,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Wynterfield,"1,681",2005,2,2,1,Attached,"$225,000","$230,000",0-.25 Acres,"1,568.16",0.036,No,Site Built,6,1/4/2021,1,1,Yes,Yes,11/12/2020,No,No,3,27713,Yes,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"2,384",1962,3,1,1,Detached,"$290,000","$275,000",.51-.75 Acres,"26,571.60",0.61,Yes,Site Built,48,1/4/2021,1,0,,Yes,9/28/2020,Yes,No,2,27705-1643,Yes,,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,No
Grove Park,"2,474",1998,4,2,1,Detached,"$324,900","$288,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,82,1/4/2021,1,2,Yes,Yes,8/21/2020,No,No,3,27703,No,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,No
Briardale,"2,444",1991,4,3,0,Detached,"$349,900","$349,000",.51-.75 Acres,"23,522.40",0.54,No,Site Built,18,1/4/2021,1,2,,Yes,10/27/2020,Yes,No,3,27712,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Auburn Trace,"2,351",2002,3,2,1,Detached,"$360,000","$375,000",.26-.5 Acres,"13,939.20",0.32,No,Site Built,5,1/4/2021,1,2,Yes,Yes,12/2/2020,No,No,3,27713,Yes,Yes,Durham - Hope Valley,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Ridgefield,"2,058",2020,4,2,1,Detached,"$274,000","$274,000",0-.25 Acres,"7,405.20",0.17,No,Site Built,0,1/4/2021,0,2,Yes,Yes,6/18/2020,No,Yes,3,27703,No,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,No
Rustica Oaks,"1,502",2014,4,3,0,Attached,"$230,000","$227,500",0-.25 Acres,"1,306.80",0.03,No,Site Built,38,1/4/2021,0,0,Yes,Yes,10/14/2020,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"2,288",1923,3,2,0,Detached,"$415,000","$355,000",.26-.5 Acres,"12,196.80",0.28,Yes,Site Built,63,1/5/2021,1,2,,Yes,10/1/2020,Yes,No,2,27701,Yes,No,Durham - Glenn,Durham - Northern,Durham - Brogden,Durham,No
Sherron Farms,"2,046",2017,4,2,1,Detached,"$334,900","$325,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,5,1/5/2021,1,2,Yes,Yes,12/5/2020,No,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Fendol Farms,"2,429",2020,3,3,0,Detached,"$408,545","$408,545",0-.25 Acres,"7,187.40",0.165,No,Site Built,0,1/5/2021,1,2,Yes,Yes,5/20/2020,Yes,Yes,3,27703,Yes,,None,None,None,Durham,Yes
University Estates,"2,464",1950,5,2,0,Detached,"$399,000","$403,500",.51-.75 Acres,"31,929.48",0.733,Yes,Site Built,14,1/5/2021,1,2,,Yes,11/4/2020,No,No,2,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Not in a Subdivision,"3,233",2019,6,3,1,Detached,"$449,000","$440,000",.51-.75 Acres,"31,363.20",0.72,No,Site Built,195,1/5/2021,1,2,,Yes,5/14/2020,Yes,No,4,27713,Yes,No,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,No
Graystone,"1,244",1998,3,2,0,Detached,"$210,000","$220,000",0-.25 Acres,"9,583.20",0.22,No,Site Built,2,1/5/2021,1,0,No,Yes,12/4/2020,Yes,No,2,27703,Yes,No,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Woodlake,"1,346",1994,3,2,0,Detached,"$273,000","$296,000",0-.25 Acres,"7,840.80",0.18,No,Site Built,3,1/5/2021,1,2,Yes,Yes,12/3/2020,Yes,No,2,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Homeplace,"1,075",1984,2,2,0,Attached,"$198,000","$189,500",0-.25 Acres,"1,960.20",0.045,No,Site Built,7,1/5/2021,1,0,Yes,Yes,11/21/2020,Yes,No,2,27713,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Northgate Park,"1,232",1956,3,1,1,Detached,"$190,000","$201,000",.26-.5 Acres,"11,761.20",0.27,No,Site Built,2,1/5/2021,0,0,,Yes,12/17/2020,Yes,No,2,27704,Yes,,Durham - Glenn,Durham - Riverside,Durham - Brogden,Durham,No
Fendol Farms,"2,447",2020,3,3,0,Detached,"$405,300","$405,300",0-.25 Acres,"7,187.40",0.165,No,Site Built,0,1/5/2021,1,2,Yes,Yes,5/25/2020,Yes,Yes,3,27703,Yes,,None,None,None,Durham,Yes
Croasdaile Farm,"4,433",2017,4,4,1,Detached,"$1,219,075","$1,275,000",1-2.9 Acres,"53,578.80",1.23,No,Site Built,4,1/5/2021,1,2,Yes,Yes,11/19/2020,Yes,No,5,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Vantage Pointe,"1,423",1998,3,2,1,Detached,"$237,000","$246,000",.26-.5 Acres,"12,066.12",0.277,No,Site Built,2,1/5/2021,1,0,Yes,Yes,12/2/2020,No,No,3,27712,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Duke Tower Condominiums,600,1972,1,1,0,Condo,"$195,000","$195,000",0-.25 Acres,"10,890.00",0.25,No,Site Built,7,1/6/2021,0,0,Yes,Yes,12/2/2020,Yes,No,1,27701,Yes,Yes,Durham - E.K. Powe,Durham - Riverside,Durham - Rogers-Herr,Durham,Yes
Pleasant Green Woods,"2,828",2002,3,2,1,Detached,"$524,999","$530,000",1-2.9 Acres,"46,609.20",1.07,No,Site Built,3,1/6/2021,1,2,Yes,Yes,11/20/2020,Yes,No,3,27705-7814,No,Yes,Orange - River Park,Orange - Orange,Orange - Orange,Durham,Yes
Chancellors Ridge,"1,957",2002,3,2,1,Attached,"$265,000","$263,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,16,1/6/2021,1,1,Yes,Yes,11/11/2020,No,No,3,27713,Yes,Yes,None,None,None,Durham,Yes
Autumn Ridge,"3,408",2002,4,2,1,Detached,"$439,000","$380,000",.26-.5 Acres,"11,804.76",0.271,No,Site Built,55,1/6/2021,1,2,Yes,Yes,9/18/2020,No,No,3,27712,Yes,Yes,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,Yes
Fendol Farms,"2,955",2020,3,3,0,Detached,"$459,990","$459,990",0-.25 Acres,"9,583.20",0.22,Yes,Site Built,0,1/6/2021,1,2,Yes,Yes,11/3/2019,Yes,Yes,3,27703,Yes,Yes,None,None,None,Durham,Yes
Wyndmoor at the Park,"2,490",2010,3,2,1,Detached,"$319,900","$343,300",0-.25 Acres,"6,098.40",0.14,No,Site Built,1,1/6/2021,1,2,Yes,Yes,12/3/2020,No,No,3,27703,Yes,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Sunset Valley,"2,620",1957,3,2,1,Detached,"$485,000","$485,000",1-2.9 Acres,"49,222.80",1.13,No,Site Built,2,1/6/2021,1,2,,Yes,12/3/2020,Yes,No,3,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
West Brier Townes at Alexander Park,"2,198",2020,3,2,1,Attached,"$307,565","$307,565",0-.25 Acres,"3,833.28",0.088,No,Site Built,0,1/6/2021,0,2,Yes,No,5/31/2020,Yes,Yes,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Rustica Oaks,"1,540",2015,3,2,1,Attached,"$224,900","$225,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,0,1/6/2021,0,0,Yes,Yes,11/10/2020,No,No,3,27703,Yes,Yes,Durham - Oakgrove,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
New Hope,984,1925,2,1,0,Detached,"$90,000","$90,000",0-.25 Acres,"5,140.08",0.118,Yes,Site Built,29,1/6/2021,0,0,,Yes,11/12/2020,No,No,1,27707,Yes,,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,No
Not in a Subdivision,"1,458",1960,3,1,1,Detached,"$199,900","$205,000",.26-.5 Acres,"12,588.84",0.289,No,Site Built,5,1/6/2021,0,0,,Yes,10/23/2020,No,No,2,27704,Yes,No,Durham - Glenn,Durham - Northern,Durham - Carrington,Durham,No
Clayton Crossings,"1,620",2000,3,2,1,Detached,"$215,000","$220,000",.26-.5 Acres,"11,325.60",0.26,No,Site Built,1,1/6/2021,1,0,,Yes,12/7/2020,No,No,3,27703-2664,Yes,,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Hope Valley Farms,"1,345",2003,3,2,1,Attached,"$225,000","$233,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,5,1/6/2021,1,0,Yes,Yes,11/24/2020,No,No,3,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Brogden Heights,"1,611",1972,3,2,0,Detached,"$179,000","$180,000",.26-.5 Acres,"20,037.60",0.46,No,Site Built,3,1/6/2021,1,0,,Yes,12/8/2020,Yes,No,2,27712,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Pinehurst,"1,332",1955,2,1,0,Detached,"$175,000","$187,000",.51-.75 Acres,"26,136.00",0.6,No,Site Built,10,1/6/2021,0,2,No,Yes,11/10/2020,Yes,No,1,27704,No,No,Durham - Glenn,Durham - Northern,Durham - Lucas,Durham,No
Not in a Subdivision,"1,358",1933,3,2,0,Detached,"$215,000","$221,000",0-.25 Acres,"6,577.56",0.151,No,Site Built,5,1/6/2021,3,0,,Yes,11/24/2020,Yes,No,2,27707,Yes,No,Durham - Spaulding,Durham - Hillside,Durham - Brogden,Durham,No
Not in a Subdivision,"1,181",2016,3,2,0,Detached,"$250,000","$240,000",.26-.5 Acres,"15,028.20",0.345,No,Site Built,28,1/6/2021,0,0,No,Yes,11/4/2020,Yes,No,2,27703,Yes,No,Durham - Eastway,Durham - Northern,Durham - Neal,Durham,No
Stratford Lakes,"1,876",2012,3,3,1,Attached,"$230,000","$238,000",0-.25 Acres,130.68,0.003,Yes,Site Built,0,1/6/2021,0,0,Yes,Yes,11/20/2020,No,No,4,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Rotund Hills,"1,323",1965,3,2,0,Detached,"$205,000","$205,000",.26-.5 Acres,"20,037.60",0.46,No,Site Built,1,1/7/2021,1,0,,Yes,11/13/2020,Yes,No,2,27703,No,No,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,No
Duke Tower Condominiums,576,1974,1,1,0,Condo,"$172,000","$167,000",3-5.9 Acres,"174,240.00",4.0,No,Site Built,2,1/7/2021,0,0,Yes,Yes,11/19/2020,Yes,No,1,27701,Yes,Yes,Durham - E.K. Powe,Durham - Riverside,Durham - Rogers-Herr,Durham,Yes
Wingbrook,"2,585",1988,4,3,0,Detached,"$474,000","$467,500",.26-.5 Acres,"12,153.24",0.279,No,Site Built,71,1/7/2021,1,2,,Yes,9/10/2020,Yes,No,3,27707,Yes,No,Durham - Lakewood,Durham - Jordan,Durham - Brogden,Durham,Yes
Brightleaf,"2,823",2012,4,2,1,Detached,"$425,000","$433,000",.26-.5 Acres,"13,503.60",0.31,No,Site Built,1,1/7/2021,1,2,Yes,Yes,11/11/2020,Yes,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Thompson Ridge,"1,464",2012,2,2,1,Attached,"$247,900","$247,900",0-.25 Acres,"1,306.80",0.03,No,Site Built,2,1/7/2021,0,0,Yes,Yes,11/16/2020,No,No,3,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Hanover Pointe,"1,920",2012,3,2,1,Detached,"$295,000","$288,000",0-.25 Acres,"3,484.80",0.08,No,Site Built,4,1/7/2021,1,2,Yes,Yes,11/16/2020,No,No,3,27703,Yes,Yes,None,None,None,Durham,Yes
Dogwood Pointe,"1,809",2020,4,2,1,Attached,"$295,000","$291,000",0-.25 Acres,"3,049.20",0.07,No,Site Built,29,1/7/2021,0,1,Yes,Yes,11/20/2020,Yes,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
The Ridges at Parkwood,"1,356",1984,3,2,0,Attached,"$184,900","$181,732",0-.25 Acres,"1,873.08",0.043,No,Site Built,4,1/7/2021,1,0,Yes,Yes,11/19/2020,Yes,No,2,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Old Farm,"1,439",1968,3,2,0,Detached,"$185,000","$180,000",.26-.5 Acres,"14,069.88",0.323,No,Site Built,57,1/7/2021,1,0,,Yes,6/6/2020,Yes,No,2,27704,Yes,,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,Yes
Forest Oaks,"1,400",1988,2,2,1,Attached,"$169,900","$175,000",0-.25 Acres,"1,306.80",0.03,No,Site Built,3,1/7/2021,0,0,Yes,Yes,11/23/2020,No,No,3,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Not in a Subdivision,"1,680",2017,3,2,0,Detached,"$315,000","$325,000",.26-.5 Acres,"20,037.60",0.46,No,Site Built,2,1/7/2021,1,2,,Yes,11/23/2020,Yes,No,2,27703,Yes,No,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Not in a Subdivision,"1,439",1940,2,2,0,Detached,"$449,900","$485,000",0-.25 Acres,"7,405.20",0.17,Yes,Site Built,4,1/7/2021,1,0,,Yes,11/29/2020,Yes,No,2,27701-1919,Yes,No,Durham - Glenn,Durham - Riverside,Durham - Brogden,Durham,No
Not in a Subdivision,"1,853",1974,4,2,1,Detached,"$269,900","$275,000",.26-.5 Acres,"21,823.56",0.501,No,Site Built,111,1/7/2021,0,0,,Yes,8/6/2020,No,No,3,27712,Yes,,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,No
Creekside Commons,"2,339",2020,3,2,1,Attached,"$320,643","$326,353",0-.25 Acres,"1,742.40",0.04,No,Site Built,0,1/7/2021,0,2,Yes,No,6/25/2020,No,Yes,3,27707,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Croasdaile Farm,"2,801",1990,4,3,0,Attached,"$499,900","$483,500",0-.25 Acres,"5,227.20",0.12,No,Site Built,20,1/7/2021,1,2,Yes,Yes,10/22/2020,Yes,No,3,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Not in a Subdivision,"1,373",2020,3,2,0,Detached,"$339,950","$361,778",0-.25 Acres,"8,973.36",0.206,No,Site Built,0,1/7/2021,1,2,,Yes,4/18/2020,Yes,Yes,2,27705,Yes,No,Durham - Hillandale,Durham - Northern,Durham - Brogden,Durham,No
Huntley,"1,755",2020,3,2,0,Detached,"$420,000","$395,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,13,1/8/2021,1,2,Yes,Yes,10/30/2020,Yes,No,2,27703,No,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Not in a Subdivision,"1,138",1954,2,1,0,Detached,"$280,000","$250,000",1-2.9 Acres,"60,025.68",1.378,No,Site Built,65,1/8/2021,1,0,,Yes,9/11/2020,Yes,No,1,27713,Yes,,Durham - Pearsontown,Durham - Hillside,Durham - Rogers-Herr,Durham,No
Ellerbee Creek Preserve,"1,958",2008,4,3,0,Detached,"$260,000","$267,000",0-.25 Acres,"10,018.80",0.23,No,Site Built,3,1/8/2021,1,2,Yes,Yes,12/5/2020,Yes,No,3,27704,Yes,Yes,Durham - Glenn,Durham - Northern,Durham - Lucas,Durham,Yes
Woodcroft,"2,337",1985,3,3,1,Attached,"$229,900","$242,500",0-.25 Acres,"1,873.08",0.043,Yes,Site Built,4,1/8/2021,1,0,Yes,Yes,11/6/2020,No,No,4,27713,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Old Farm,"1,385",1968,3,2,0,Detached,"$225,000","$226,000",.26-.5 Acres,"15,420.24",0.354,No,Site Built,5,1/8/2021,1,2,,Yes,10/13/2020,Yes,No,2,27704,Yes,No,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,Yes
Independence Park,"1,710",2016,3,2,1,Attached,"$225,000","$228,000",0-.25 Acres,"3,049.20",0.07,No,Site Built,2,1/8/2021,0,1,Yes,Yes,12/3/2020,No,No,3,27704,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Scarsdale,"1,483",1964,3,1,1,Detached,"$274,000","$264,000",.26-.5 Acres,"19,602.00",0.45,No,Site Built,40,1/8/2021,0,0,No,Yes,10/9/2020,Yes,No,2,27705,Yes,,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Not in a Subdivision,"1,158",2001,3,1,1,Detached,"$140,000","$137,000",0-.25 Acres,"8,407.08",0.193,No,Site Built,4,1/8/2021,0,0,No,Yes,12/9/2020,Yes,No,2,27704,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Hope Valley Farms,"1,090",1999,3,2,0,Detached,"$242,900","$239,900",0-.25 Acres,"5,227.20",0.12,No,Site Built,35,1/8/2021,0,1,Yes,Yes,10/19/2020,Yes,No,2,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Creekside Commons,"2,339",2020,3,3,1,Attached,"$301,980","$319,129",0-.25 Acres,"1,742.40",0.04,No,Site Built,0,1/8/2021,0,2,Yes,No,6/24/2020,No,Yes,4,27707,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Rustica Oaks,"2,914",2016,4,3,0,Detached,"$379,900","$397,800",0-.25 Acres,"7,013.16",0.161,No,Site Built,2,1/8/2021,1,2,Yes,Yes,11/19/2020,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"3,731",1995,4,2,1,Detached,"$424,999","$415,000",.51-.75 Acres,"30,448.44",0.699,No,Site Built,103,1/8/2021,1,2,,Yes,8/25/2020,Yes,No,3,27713,Yes,,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,No
Hope Valley Farms,"2,634",2020,4,3,0,Detached,"$549,900","$568,000",0-.25 Acres,"10,802.88",0.248,No,Site Built,0,1/8/2021,1,2,Yes,Yes,12/4/2020,Yes,Yes,3,27713,Yes,Yes,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Brandon Ridge Spring Hill,"1,016",1986,2,2,0,Condo,"$149,000","$146,500",0-.25 Acres,0.00,0.0,No,Site Built,66,1/8/2021,1,0,Yes,Yes,9/10/2020,No,No,2,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Andrews Chapel,"1,866",2019,3,2,1,Attached,"$305,900","$300,000",0-.25 Acres,"2,221.56",0.051,No,Site Built,80,1/8/2021,0,1,Yes,Yes,9/8/2020,No,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Ridgefield,"1,810",2004,3,2,1,Detached,"$235,000","$250,000",0-.25 Acres,"7,013.16",0.161,No,Site Built,1,1/8/2021,0,1,Yes,Yes,11/11/2020,No,No,3,27703,Yes,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,Yes
Not in a Subdivision,"1,616",1930,3,1,0,Detached,"$120,000","$129,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,6,1/8/2021,0,0,,Yes,11/15/2020,Yes,No,1,27701,Yes,,Durham - Eastway,Durham - Northern,Durham - Lucas,Durham,No
Stratford Lakes,"1,316",2007,2,2,1,Attached,"$205,000","$205,000",0-.25 Acres,0.00,0.0,No,Site Built,3,1/8/2021,0,0,Yes,Yes,11/14/2020,No,No,3,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"2,448",2020,3,2,1,Detached,"$559,000","$540,000",0-.25 Acres,"6,054.84",0.139,No,Site Built,0,1/8/2021,1,0,No,Yes,11/12/2020,No,Yes,3,27707,Yes,No,Durham - Spaulding,Durham - Jordan,Durham - Brogden,Durham,No
Amhurst,"2,715",1965,3,2,2,Detached,"$349,500","$347,000",.51-.75 Acres,"32,408.64",0.744,No,Site Built,33,1/8/2021,1,0,,Yes,10/23/2020,No,No,4,27707,Yes,No,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Hope Valley Farms,"2,109",1989,4,2,1,Detached,"$317,500","$317,500",0-.25 Acres,"10,193.04",0.234,No,Site Built,3,1/8/2021,1,0,Yes,Yes,11/20/2020,No,No,3,27713,Yes,Yes,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Townes at Brier Creek Crossing,"1,492",2015,3,2,1,Attached,"$260,000","$258,500",0-.25 Acres,"2,178.00",0.05,No,Site Built,6,1/8/2021,0,1,Yes,Yes,11/27/2020,No,No,3,27703,Yes,,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Ashton Hall,"2,435",2013,3,2,1,Detached,"$320,000","$325,000",0-.25 Acres,"5,793.48",0.133,No,Site Built,3,1/8/2021,1,2,Yes,Yes,12/3/2020,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Southern,Durham - Neal,Durham,Yes
Grove Park,"1,502",1996,3,2,0,Detached,"$263,500","$257,000",0-.25 Acres,"8,799.12",0.202,No,Site Built,0,1/8/2021,1,2,Yes,Yes,11/8/2020,Yes,No,2,27703,Yes,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,Yes
Haven Hill,"2,974",1980,4,3,0,Detached,"$332,500","$332,500",.51-.75 Acres,"26,310.24",0.604,Yes,Site Built,82,1/8/2021,1,2,,Yes,9/11/2020,Yes,No,3,27712,No,No,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,No
Belgreen,"2,134",2021,4,3,0,Detached,"$328,550","$328,550",0-.25 Acres,"4,268.88",0.098,No,Site Built,0,1/9/2021,0,2,Yes,Yes,1/8/2021,No,Yes,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Horton Hills,"1,375",1990,3,2,0,Detached,"$229,900","$235,000",.26-.5 Acres,"18,425.88",0.423,No,Site Built,2,1/10/2021,1,0,No,Yes,11/2/2020,Yes,No,2,27704,Yes,,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Not in a Subdivision,"1,466",1925,3,1,0,Detached,"$215,000","$235,000",0-.25 Acres,"9,583.20",0.22,No,Site Built,2,1/11/2021,4+,0,,Yes,12/7/2020,Yes,No,1,27703-3003,Yes,No,Durham - Y E Smith,Durham - Southern,Durham - Neal,Durham,No
Not in a Subdivision,973,1910,2,1,0,Detached,"$169,400","$169,400",0-.25 Acres,"7,361.64",0.169,No,Site Built,29,1/11/2021,0,0,,Yes,9/10/2020,Yes,No,1,27703,Yes,No,Durham - Y E Smith,Durham - Southern,Durham - Neal,Durham,No
Not in a Subdivision,"1,486",2020,3,2,1,Detached,"$294,000","$294,000",0-.25 Acres,"4,791.60",0.11,No,Site Built,0,1/11/2021,1,0,,Yes,10/26/2020,No,Yes,3,27701,Yes,No,Durham - Pearson,Durham - Jordan,Durham - Githens,Durham,No
Ashley Forest,"1,138",1987,3,2,0,Detached,"$220,000","$220,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,10,1/11/2021,1,0,Yes,Yes,10/15/2020,No,No,2,27703-9284,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Belgreen,"1,929",2020,3,2,1,Detached,"$297,565","$297,565",0-.25 Acres,"4,356.00",0.1,No,Site Built,0,1/11/2021,0,2,Yes,No,5/28/2020,No,Yes,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"1,763",1959,3,2,1,Detached,"$292,000","$330,526",.26-.5 Acres,"11,848.32",0.272,No,Site Built,5,1/11/2021,0,1,,Yes,12/4/2020,No,No,3,27705,Yes,No,Durham - Lakewood,Durham - Jordan,Durham - Brogden,Durham,No
Fendol Farms,"1,800",2020,2,2,0,Detached,"$413,535","$413,675",0-.25 Acres,"8,276.40",0.19,No,Site Built,0,1/11/2021,1,2,Yes,Yes,12/19/2019,Yes,Yes,2,27703,Yes,Yes,None,None,None,Durham,Yes
Belgreen,"2,134",2021,4,3,0,Detached,"$300,840","$300,840",0-.25 Acres,"4,791.60",0.11,No,Site Built,0,1/11/2021,0,2,Yes,Yes,5/18/2020,No,Yes,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Brandon Ridge Spring Hill,692,1986,1,1,0,Condo,"$115,000","$120,000",0-.25 Acres,0.00,0.0,No,Site Built,4,1/11/2021,0,0,Yes,Yes,11/27/2020,Yes,No,1,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Woodlake,"1,763",1989,3,2,0,Detached,"$318,000","$328,000",0-.25 Acres,"10,105.92",0.232,No,Site Built,2,1/11/2021,1,2,Yes,Yes,11/19/2020,Yes,No,2,27713,Yes,,Durham - Parkwood,Durham - Hillside,Durham - Githens,Durham,Yes
Willowhaven,"2,253",1968,3,2,1,Detached,"$399,000","$390,000",1-2.9 Acres,"53,143.20",1.22,Yes,Site Built,3,1/11/2021,2,2,,Yes,12/3/2020,Yes,No,3,27712,No,,Durham - Easley,Durham - Riverside,Durham - Carrington,Durham,No
Not in a Subdivision,"1,387",1930,3,2,0,Detached,"$435,000","$431,000",0-.25 Acres,"5,096.52",0.117,No,Site Built,4,1/11/2021,1,0,,Yes,11/27/2020,Yes,No,2,27705,Yes,No,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,No
